Name, RequiredSeats, Location
allli, 1, Initiation
aoverbec, 1, Initiation
aphuchar, 1, Initiation
asclkose, 1, Initiation
ashwinsp, 1, Initiation
awruan, 1, Initiation
cbangera, 1, Initiation
devansh, 1, Initiation
dfalvo, 1, Initiation
dionli, 1, Initiation
drbought, 1, Initiation
dstep, 1, Initiation
garliari, 1, Initiation
hgdanawe, 1, Initiation
jpienkny, 1, Initiation
markusi, 1, Initiation
mkukucka, 1, Initiation
nggw, 1, Initiation
nghawali, 1, Initiation
simonli, 1, Initiation
strydhkg, 1, Initiation
wengl, 1, Initiation
yaswanth, 1, Initiation
yunseokc, 1, Initiation
zikunw, 1, Initiation
carinaj, 1, Other
damartel, 1, Other
dschlau, 1, Other
ericlian, 1, Other
johnzryu, 1, Other
liuying, 1, Other
ranadeep, 1, Other
rreddi, 1, Other
tayjayfo, 1, Other
xiupy, 1, Other
jessmer, 1, Other
jgozon, 1, Other